"x","y","DLCD_v2.1_MODIS_EVI_13_20140101.20151231","map","map.level","poly"
143.024,-34.9,9,226.075971330915,"<300","143.024,-34.9,143.044,-34.9,143.044,-34.88,143.024,-34.88,143.024,-34.9,"
143.4,-35.26349,9,327.227681477865,"<400","143.4,-35.26349,143.42,-35.26349,143.42,-35.24349,143.4,-35.24349,143.4,-35.26349,"
148.796084,-32.609125,9,485.373930431548,"<500","148.796084,-32.609125,148.816084,-32.609125,148.816084,-32.589125,148.796084,-32.589125,148.796084,-32.609125,"
149.735684,-33.501745,9,560.809073311942,"<600","149.735684,-33.501745,149.755684,-33.501745,149.755684,-33.481745,149.735684,-33.481745,149.735684,-33.501745,"
151.732334,-32.374225,9,652.054946172805,"<700","151.732334,-32.374225,151.752334,-32.374225,151.752334,-32.354225,151.732334,-32.354225,151.732334,-32.374225,"
149.359844,-33.830605,9,732.143078031994,"<800","149.359844,-33.830605,149.379844,-33.830605,149.379844,-33.810605,149.359844,-33.810605,149.359844,-33.830605,"
150.534344,-30.213145,9,843.61862327939,"<900","150.534344,-30.213145,150.554344,-30.213145,150.554344,-30.193145,150.534344,-30.193145,150.534344,-30.213145,"
149.406824,-35.897725,9,984.324021112351,"<1000","149.406824,-35.897725,149.426824,-35.897725,149.426824,-35.877725,149.406824,-35.877725,149.406824,-35.897725,"
149.853134,-35.498395,9,1030.22107514881,"<1100","149.853134,-35.498395,149.873134,-35.498395,149.873134,-35.478395,149.853134,-35.478395,149.853134,-35.498395,"
152.437034,-30.330595,9,1187.67858886719,"<1200","152.437034,-30.330595,152.457034,-30.330595,152.457034,-30.310595,152.437034,-30.310595,152.437034,-30.330595,"
