"type","x","y","map","map.level","poly"
19,140.235786500306,-26.250968379526,154,"<200","140.235786500306,-26.250968379526,140.255786500306,-26.250968379526,140.255786500306,-26.230968379526,140.235786500306,-26.230968379526,140.235786500306,-26.250968379526,"
19,140.593818163427,-32.3907641312679,235.985647218319,"<300","140.593818163427,-32.3907641312679,140.613818163427,-32.3907641312679,140.613818163427,-32.3707641312679,140.593818163427,-32.3707641312679,140.593818163427,-32.3907641312679,"
19,145.574170583151,-30.1968533584991,362.804212694911,"<400","145.574170583151,-30.1968533584991,145.594170583151,-30.1968533584991,145.594170583151,-30.1768533584991,145.574170583151,-30.1768533584991,145.574170583151,-30.1968533584991,"
19,146.163188949089,-25.181024734727,493.232923891429,"<500","146.163188949089,-25.181024734727,146.183188949089,-25.181024734727,146.183188949089,-25.161024734727,146.163188949089,-25.161024734727,146.163188949089,-25.181024734727,"
19,146.42565983448,-25.1009185682438,524.721650706632,"<600","146.42565983448,-25.1009185682438,146.44565983448,-25.1009185682438,146.44565983448,-25.0809185682438,146.42565983448,-25.0809185682438,146.42565983448,-25.1009185682438,"
19,149.831119155529,-29.6410891203185,604.064952801984,"<700","149.831119155529,-29.6410891203185,149.851119155529,-29.6410891203185,149.851119155529,-29.6210891203185,149.831119155529,-29.6210891203185,149.831119155529,-29.6410891203185,"
19,149.540084486243,-32.9307105857738,791.043209822317,"<800","149.540084486243,-32.9307105857738,149.560084486243,-32.9307105857738,149.560084486243,-32.9107105857738,149.540084486243,-32.9107105857738,149.540084486243,-32.9307105857738,"
19,149.61242262938,-32.7778248429175,822.172056255882,"<900","149.61242262938,-32.7778248429175,149.63242262938,-32.7778248429175,149.63242262938,-32.7578248429175,149.61242262938,-32.7578248429175,149.61242262938,-32.7778248429175,"
19,148.965098186137,-33.4111963334232,934.92969206425,"<1000","148.965098186137,-33.4111963334232,148.985098186137,-33.4111963334232,148.985098186137,-33.3911963334232,148.965098186137,-33.3911963334232,148.965098186137,-33.4111963334232,"
19,153.056095099631,-27.2028270672697,1266.62823911321,"<2000","153.056095099631,-27.2028270672697,153.076095099631,-27.2028270672697,153.076095099631,-27.1828270672697,153.056095099631,-27.1828270672697,153.056095099631,-27.2028270672697,"
