system:time_start,0,1,2,3,4,5,6,7,8,9
"Jan 1, 2007","1,213","1,164","1,730","1,421","1,596","5,350",,"1,901","2,460","6,782"
"Jan 17, 2007","1,160","1,238","1,966","2,047","1,964","5,166",,"1,885","2,326","6,161"
"Feb 2, 2007","1,211","1,343","1,822","1,929","2,108","5,204",,"2,002","2,475","7,514"
"Feb 18, 2007","1,167","1,320","1,997","1,609","2,358","5,479",,"1,927","2,781","7,061"
"Mar 6, 2007","1,184","1,329","1,896","1,842","2,268","5,152",,"1,904","5,110","7,440"
"Mar 22, 2007","1,147","1,589","1,869","1,742","2,283","5,303",,"1,899","4,684","7,193"
"Apr 7, 2007","1,267","1,500","2,008","1,649","2,211","5,143",,"1,842","3,474","7,067"
"Apr 23, 2007","1,234","1,406","2,049","1,649","2,106","4,770",,"1,724","3,612","7,412"
"May 9, 2007","1,623","1,582","2,014","1,659","2,183","4,975",,"2,070","4,469","7,730"
"May 25, 2007","1,665","1,637","2,047","1,646","2,197","5,268",,"2,352","5,549","7,262"
"Jun 10, 2007","2,045","2,006","2,136","1,573","1,981","5,230",,"2,275","6,023","7,354"
"Jun 26, 2007","2,078","2,075","2,005","1,661","2,039","5,295",,"3,396","7,574","7,347"
"Jul 12, 2007","2,032","2,115","2,148","1,570","1,929","4,976",,"4,932","7,580","6,707"
"Jul 28, 2007","2,225","2,031","1,641","1,559","1,881","5,142",,"7,029","7,561","6,671"
"Aug 13, 2007","2,115","1,720","1,540","1,529","1,797","4,857",,"7,462","7,751","6,833"
"Aug 29, 2007","1,867","1,564","1,760","1,616","1,880","5,112",,"7,086","8,222","7,014"
"Sep 14, 2007","1,257","1,433","1,597","1,535","1,818","5,000",,"4,746","6,527","6,547"
"Sep 30, 2007","1,381","1,476","1,669","1,469","1,775","5,197",,"4,018","4,081","6,352"
"Oct 16, 2007","1,244","1,319","1,968","1,463","1,669","4,837",,"2,194","3,208","6,554"
"Nov 1, 2007","1,258","1,290","1,537","1,505","1,724","5,204",,"2,581","3,984","6,900"
"Nov 17, 2007","1,230","1,298","1,421","1,765","1,739","4,763",,"3,159","3,802","6,785"
"Dec 3, 2007","1,157","1,141","1,904","1,570","1,727","5,137",,"4,276","5,415","7,569"
"Dec 19, 2007","1,005","1,349","1,886","1,777","2,012","6,178",,"5,367","6,278","7,272"
"Jan 1, 2008","1,005","1,231","1,886","1,777","2,243","6,178",,"4,794","5,584","6,267"
"Jan 17, 2008","1,009","1,644","2,043","1,622","2,072","7,392",,"5,236","6,526","7,644"
"Feb 2, 2008","1,120","1,713","2,239","1,621","2,128","6,804",,"5,008","7,005","6,885"
"Feb 18, 2008","1,187","1,409","2,147","1,486","2,037","7,067",,"1,909","6,163","6,932"
"Mar 5, 2008","1,157","1,406","2,106","1,610","1,958","7,157",,"2,090","5,728","6,917"
"Mar 21, 2008","1,105","1,312","1,733","1,593","1,909","6,753",,"2,066","4,515","7,261"
"Apr 6, 2008","1,185","1,319","1,736","1,526","1,829","6,717",,"2,090","3,978","6,866"
"Apr 22, 2008","1,189","1,276","1,889","1,580","1,876","6,762",,"2,009","3,901","7,333"
"May 8, 2008","1,087","1,284","1,792","1,597","1,914","6,710",,"1,984","3,787","6,997"
"May 24, 2008","1,176","1,280","1,966","1,555","1,794","6,808",,"2,152","3,715","7,151"
"Jun 9, 2008","1,339","1,409","2,437","1,578","1,904","7,192",,"2,116","3,900","7,181"
"Jun 25, 2008","1,319","1,411","1,908","1,720","1,802","7,057",,"2,461","3,560","7,285"
